,SP_ID,Int_Name,PA_type,PA_DEF,IUCN_CAT,RealmNr,Biodiversity,Wilderness,ClimateStability,LandUseStability,Size,ClimateProtection
998,442,Kaskatamagan Wildlife Management Area,NA,1,II,5,0.034536205,0.996801587,0.403285324,0.749923837,0.008083134,0.110295867
563,455,Vuntut National Park Of Canada,NA,1,II,5,0.033491549,0.99621473,0.600376866,0.749919351,0.013790774,0.039475927
337,250,Kobuk Valley,NA,1,II,5,0.033073547,0.999609473,0.650616465,0.749919351,0.021501749,0.137101347
204,446,Akami–Uapishku - Kakkasuak - Mealy Mountains National Park Reserve Of Canada,NA,1,II,5,0.033015288,0.97720774,0.524586152,0.751015137,0.033340782,0.173226263
373,110,Andreafsky,NA,1,Ib,5,0.032888927,0.983985131,0.613451556,0.749919351,0.019929335,0.06257636
601,327,Réserve de biodiversité projetée de la vallée de la rivière Natashquan,NA,1,II,5,0.032762807,0.967079694,0.444482821,0.753548908,0.01288739,0.230024107
1101,972,Kugaluk River,KBA,NA,NA,5,0.031950465,0.998285019,0.179127806,0.749919351,0.007385809,0.023344857
1288,325,Réserve de biodiversité projetée des basses collines du lac Guernesé,NA,1,II,5,0.031546482,0.961835414,0.555272024,0.752084862,0.006373767,0.175305668
701,973,Lower Mackenzie River Islands,KBA,NA,NA,5,0.03123342,0.98983734,0.418516647,0.749919351,0.011459728,0.075226201
152,930,Kuskokwim River Delta,KBA,NA,NA,5,0.030832976,0.957378404,0.544646349,0.749919351,0.040625558,0
558,141,Nueltin Lake Provincial Park,NA,1,Ib,5,0.030762282,0.997166192,0.524041853,0.750479037,0.013928412,0.087192485
481,928,Central Seward Peninsula,KBA,NA,NA,5,0.030683891,0.979661182,0.705481376,0.749919351,0.015673874,0
312,140,Caribou River Provincial Park,NA,1,Ib,5,0.030612686,0.997541719,0.551840838,0.749971096,0.023772875,0.066313716
1301,116,Central Arctic Management Area,NA,1,Ib,5,0.030391659,0.997577279,0.672080057,0.749919351,0.006337942,NA
267,320,Réserve de territoire pour fins d'aire protégée du Lac-Burton-Rivière-Roggan-et-la-Pointe-Louis-XIV,NA,1,II,5,0.029308748,0.988283584,0.308577094,0.750362939,0.027202603,0.078852691
776,989,Northeast James Bay Coast,KBA,NA,NA,5,0.028536978,0.943558164,0.332823562,0.750440408,0.010346503,0.091582296
90,929,Central Yukon - Kuskokwim,KBA,NA,NA,5,0.02829194,0.972682206,0.542704841,0.749919351,0.063129737,0
554,330,Réserve de biodiversité projetée Paakumshumwaau-Maatuskaau,NA,1,II,5,0.027636466,0.969450832,0.479668524,0.750518081,0.014001814,0.101122221
223,464,Ivvavik National Park Of Canada,NA,1,II,5,0.02751979,0.99900815,0.617844204,0.749919351,0.030426667,0.037018109
682,113,Unimak Island,NA,1,Ib,5,0.025469841,0.978283165,0.539616317,0.749919467,0.011675869,0
298,328,Réserve de territoire pour fins d'aire protégée de la Rivière-George,NA,1,II,5,0.024874152,0.997972757,0.547714483,0.750313736,0.024669356,0.070981586
53,329,Parc national Tursujuq,NA,1,II,5,0.023488079,0.996410347,0.607515109,0.750108416,0.081061684,0.08254829
418,981,McConnell River,KBA,NA,NA,5,0.023451953,0.975541621,0.462114831,0.749919452,0.018052788,7.41E-05
101,454,Tuktut Nogait National Park Of Canada,NA,1,II,5,0.0224345,0.999689837,0.598156805,0.749919351,0.058789925,0
876,132,Bay du Nord Wilderness Reserve,NA,1,Ib,5,0.021892181,0.939221,0.589047266,0.755761199,0.009058758,0.125058225
662,314,Réserve de parc national de la Baie-aux-Feuilles,NA,1,II,5,0.021754415,0.992117001,0.60220161,0.750154082,0.012003332,0.028595794
792,321,Réserve de biodiversité projetée du Lac-Sérigny,NA,1,II,5,0.021322828,0.99607913,0.57681963,0.750394565,0.010122907,0.090443349
