"","SP_ID","Int_Name","PA_type","PA_DEF","IUCN_CAT","RealmNr","Biodiversity","Wilderness","ClimateStability","LandUseStability","Area","ClimateProtection"
"272","1278","Daraina - Loky - Manambato NPA","KBA",NA,NA,"3",0.264044017810602,0.544292056454791,0.0892265529248329,0.714933492470334,0.0132137955270061,0.0193911521640328
"273","1002","Daraina Forest","KBA",NA,NA,"3",0.26386933833693,0.544356231991961,0.0879333408155593,0.714824163925154,0.0135983058784393,0.0193911521640328
"285","602","Delta du Saloum","KBA",NA,NA,"3",0.342995294983774,0.506362610580188,0.62801661493143,0.840012598891095,0.0256630959098174,0.0094566256917195
"293","582","Dida Galgalu desert","KBA",NA,NA,"3",0.326930784393468,0.579394910822173,0.711273866371974,0.768361100641362,0.0573692417136248,0.0203328520112894
"294","184","Digya",NA,"1","II","3",0.481020507620553,0.735532453267755,0.602303748573188,0.687376411345962,0.0154219086661027,0.0547717557567463
"295","592","Dilia de Lagané","KBA",NA,NA,"3",0.143240140364431,0.649108506786857,0.488417570207473,0.759513716526209,0.0633185012142258,0.00486451770036844
"296","237","Dinder",NA,"1","II","3",0.29809334287537,0.216410613735008,0.654801072943882,0.548938891159407,0.0844770112942047,0.0459783576305642
"297","540","Dja Faunal Reserve",NA,"1","Not Applicable","3",0.544058304714295,0.787483564439291,0.560933762093844,0.829451424481117,0.0527188020544169,0.300297620237396
"308","581","Dulombi","KBA",NA,NA,"3",0.332390321209355,0.620185472784229,0.912789697115256,0.700391105370975,0.0066748795297475,0.0437218978147883
"319","590","Eastern Caprivi wetlands","KBA",NA,NA,"3",0.478190074968115,0.494164276726244,0.609861145264793,0.830374982904001,0.0319671329463825,0.0730273947320685
"326","541","Ecosystem and Relict Cultural Landscape of Lopé-Okanda",NA,"1","Not Applicable","3",0.492610356085178,0.679947740801749,0.988659028284739,0.842188708222839,0.041983850786472,0.216833668678052
"339","596","En Nahud","KBA",NA,NA,"3",0.177143014382349,0.192699240194507,0.538832543929685,0.625235646141595,0.286873830001667,0.0366366033245499
"341","542","Ennedi Natural and Cultural Reserve",NA,"1","Not Applicable","3",0.0481028988512765,0.607311469779153,0.388070644044768,0.857865884732346,0.271156643883288,0.00528849285751037
"357","222","Etosha",NA,"1","II","3",0.363680333750879,0.50260942235063,0.733825181507278,0.866001666307166,0.262705352977634,0.059560368940332
"361","594","Falgore and Lame Burra Game Reserves","KBA",NA,NA,"3",0.355899299573776,0.308588490097563,0.606049359453462,0.675304262931823,0.016885744061746,0.026110902211092
"362","610","Far Waamo","KBA",NA,NA,"3",0.310267133215911,0.402009860727399,0.534625199121967,0.849801975027505,0.0144469816939297,0.0309499255573854
"364","490","Faro",NA,"1","II","3",0.458437686402062,0.502867733749533,0.631264895026391,0.777039664349284,0.024330577965727,0.0666927776842607
"365","1244","Fazao-Malfakassa National Park","KBA",NA,NA,"3",0.438727685589158,0.775179935704673,0.343637850292578,0.672253667315839,0.00783219238574252,0.0404518350383789
"366","600","Ferlo North","KBA",NA,NA,"3",0.209842600977753,0.524098751187145,0.500388638005698,0.866466647744474,0.0445812229539902,0.00833351102017832
